Method,AUC,Overall_Acc,Acc_Class0,Prec_Class0,Rec_Class0,F1_Class0,Acc_Class1,Prec_Class1,Rec_Class1,F1_Class1,BCE_Loss,Params
PatternNoDecomp,0.79 ± 0.02,,,0.94 ± 0.01,0.70 ± 0.03,0.80 ± 0.01,,0.28 ± 0.01,0.74 ± 0.08,0.41 ± 0.02,0.59 ± 0.05,"{'hidden_dim': 32, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.01, 'num_decoder_layers': 1}"
PatternNoDecomp,0.80 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.03,0.41 ± 0.01,0.58 ± 0.02,"{'hidden_dim': 32, 'num_layers': 3, 'residual_type': 'concat', 'lr': 0.01, 'num_decoder_layers': 1}"
DecoupledResidualNoDecomp,0.77 ± 0.02,,,0.93 ± 0.01,0.71 ± 0.03,0.80 ± 0.02,,0.27 ± 0.01,0.68 ± 0.06,0.39 ± 0.01,0.58 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.01}"
DecoupledResidual,0.77 ± 0.02,,,0.94 ± 0.01,0.68 ± 0.02,0.79 ± 0.01,,0.27 ± 0.01,0.73 ± 0.06,0.39 ± 0.02,0.60 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternResidual,0.79 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.01,0.41 ± 0.01,0.57 ± 0.04,"{'hidden_dim': 32, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternNoDecomp,0.80 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.03,0.41 ± 0.01,0.58 ± 0.02,"{'hidden_dim': 32, 'num_layers': 3, 'residual_type': 'concat', 'lr': 0.01, 'num_decoder_layers': 1}"
DecoupledResidualNoDecomp,0.77 ± 0.02,,,0.93 ± 0.01,0.71 ± 0.03,0.80 ± 0.02,,0.27 ± 0.01,0.68 ± 0.06,0.39 ± 0.01,0.58 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.01}"
DecoupledResidual,0.77 ± 0.02,,,0.94 ± 0.01,0.68 ± 0.02,0.79 ± 0.01,,0.27 ± 0.01,0.73 ± 0.06,0.39 ± 0.02,0.60 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternResidual,0.79 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.01,0.41 ± 0.01,0.57 ± 0.04,"{'hidden_dim': 32, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternNoDecomp,0.80 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.03,0.41 ± 0.01,0.58 ± 0.02,"{'hidden_dim': 32, 'num_layers': 3, 'residual_type': 'concat', 'lr': 0.01, 'num_decoder_layers': 1}"
DecoupledResidualNoDecomp,0.77 ± 0.02,,,0.93 ± 0.01,0.71 ± 0.03,0.80 ± 0.02,,0.27 ± 0.01,0.68 ± 0.06,0.39 ± 0.01,0.58 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.01}"
Multi-task MLP,0.55 ± 0.11,,,0.81 ± 0.28,0.52 ± 0.40,0.54 ± 0.36,,0.12 ± 0.08,0.55 ± 0.40,0.19 ± 0.13,0.70 ± 0.08,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.50 ± 0.12,,,0.80 ± 0.27,0.56 ± 0.40,0.57 ± 0.35,,0.08 ± 0.07,0.45 ± 0.43,0.13 ± 0.12,0.69 ± 0.14,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.76 ± 0.03,,,0.94 ± 0.02,0.66 ± 0.04,0.77 ± 0.03,,0.26 ± 0.05,0.72 ± 0.06,0.38 ± 0.06,0.63 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.79 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.04,0.78 ± 0.03,,0.28 ± 0.05,0.78 ± 0.08,0.41 ± 0.06,0.62 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.79 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.04,0.78 ± 0.03,,0.28 ± 0.05,0.78 ± 0.08,0.41 ± 0.06,0.62 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.79 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.04,0.78 ± 0.03,,0.28 ± 0.05,0.78 ± 0.08,0.41 ± 0.06,0.62 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.79 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.04,0.78 ± 0.03,,0.28 ± 0.05,0.78 ± 0.08,0.41 ± 0.06,0.62 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.79 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.04,0.78 ± 0.03,,0.28 ± 0.05,0.78 ± 0.08,0.41 ± 0.06,0.62 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.79 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.04,0.78 ± 0.03,,0.28 ± 0.05,0.78 ± 0.08,0.41 ± 0.06,0.62 ± 0.06,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.84 ± 0.05,,,0.96 ± 0.02,0.71 ± 0.05,0.82 ± 0.03,,0.32 ± 0.06,0.83 ± 0.09,0.46 ± 0.07,0.55 ± 0.08,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
Multi-task MLP,0.84 ± 0.05,,,0.96 ± 0.02,0.71 ± 0.05,0.82 ± 0.03,,0.32 ± 0.06,0.83 ± 0.09,0.46 ± 0.07,0.55 ± 0.08,"lr=0.001, hidden_dim=256, num_layers=1, lambda_aux=0.01"
PatternNoDecomp,0.80 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.03,0.41 ± 0.01,0.58 ± 0.02,"{'hidden_dim': 32, 'num_layers': 3, 'residual_type': 'concat', 'lr': 0.01, 'num_decoder_layers': 1}"
DecoupledResidualNoDecomp,0.77 ± 0.02,,,0.93 ± 0.01,0.71 ± 0.03,0.80 ± 0.02,,0.27 ± 0.01,0.68 ± 0.06,0.39 ± 0.01,0.58 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.01}"
DecoupledResidual,0.77 ± 0.02,,,0.94 ± 0.01,0.68 ± 0.02,0.79 ± 0.01,,0.27 ± 0.01,0.73 ± 0.06,0.39 ± 0.02,0.60 ± 0.03,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternResidual,0.79 ± 0.01,,,0.95 ± 0.00,0.69 ± 0.02,0.80 ± 0.01,,0.28 ± 0.01,0.76 ± 0.01,0.41 ± 0.01,0.57 ± 0.04,"{'hidden_dim': 32, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternNoDecomp,0.78 ± 0.06,,,0.95 ± 0.03,0.63 ± 0.08,0.75 ± 0.07,,0.28 ± 0.05,0.81 ± 0.09,0.42 ± 0.06,0.65 ± 0.08,"{'hidden_dim': 128, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.001}"
DecoupledResidualNoDecomp,0.72 ± 0.04,,,0.92 ± 0.02,0.64 ± 0.07,0.75 ± 0.05,,0.26 ± 0.05,0.69 ± 0.09,0.37 ± 0.05,0.68 ± 0.02,"{'hidden_dim': 64, 'num_layers': 2, 'lr': 0.001}"
DecoupledResidualNoDecomp,0.72 ± 0.04,,,0.92 ± 0.02,0.64 ± 0.07,0.75 ± 0.05,,0.26 ± 0.05,0.69 ± 0.09,0.37 ± 0.05,0.68 ± 0.02,"{'hidden_dim': 64, 'num_layers': 2, 'lr': 0.001}"
DecoupledResidual,0.77 ± 0.06,,,0.94 ± 0.03,0.67 ± 0.06,0.78 ± 0.05,,0.29 ± 0.07,0.75 ± 0.10,0.42 ± 0.08,0.66 ± 0.10,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
PatternResidual,0.75 ± 0.08,,,0.93 ± 0.04,0.63 ± 0.21,0.72 ± 0.22,,0.28 ± 0.07,0.72 ± 0.18,0.39 ± 0.09,0.66 ± 0.09,"{'hidden_dim': 32, 'num_layers': 2, 'lr': 0.001}"
PatternResidual,0.80 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.03,0.78 ± 0.02,,0.28 ± 0.06,0.79 ± 0.09,0.41 ± 0.07,0.60 ± 0.05,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
PatternResidual,0.75 ± 0.08,,,0.93 ± 0.04,0.63 ± 0.21,0.72 ± 0.22,,0.28 ± 0.07,0.72 ± 0.18,0.39 ± 0.09,0.66 ± 0.09,"{'hidden_dim': 32, 'num_layers': 2, 'lr': 0.001}"
PatternResidual,0.80 ± 0.03,,,0.95 ± 0.02,0.67 ± 0.03,0.78 ± 0.02,,0.28 ± 0.06,0.79 ± 0.09,0.41 ± 0.07,0.60 ± 0.05,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
DecoupledResidual,0.78 ± 0.04,,,0.94 ± 0.02,0.69 ± 0.03,0.80 ± 0.02,,0.28 ± 0.07,0.71 ± 0.11,0.39 ± 0.08,0.59 ± 0.05,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
DecoupledResidualNoDecomp,0.72 ± 0.05,,,0.92 ± 0.03,0.65 ± 0.18,0.74 ± 0.17,,0.25 ± 0.09,0.65 ± 0.18,0.35 ± 0.10,0.66 ± 0.04,"{'hidden_dim': 64, 'num_layers': 2, 'lr': 0.001}"
DecoupledResidualNoDecomp,0.69 ± 0.07,,,0.90 ± 0.04,0.63 ± 0.16,0.73 ± 0.15,,0.22 ± 0.05,0.62 ± 0.13,0.32 ± 0.05,0.67 ± 0.05,"{'hidden_dim': 32, 'num_layers': 1, 'lr': 0.001}"
DecoupledResidualNoDecomp,0.70 ± 0.06,,,0.92 ± 0.04,0.57 ± 0.21,0.67 ± 0.20,,0.24 ± 0.06,0.70 ± 0.20,0.34 ± 0.07,0.71 ± 0.03,"{'hidden_dim': 32, 'num_layers': 2, 'lr': 0.001}"
DecoupledResidualNoDecomp,0.70 ± 0.06,,,0.92 ± 0.04,0.57 ± 0.21,0.67 ± 0.20,,0.24 ± 0.06,0.70 ± 0.20,0.34 ± 0.07,0.71 ± 0.03,"{'hidden_dim': 32, 'num_layers': 2, 'lr': 0.001}"
DecoupledResidualNoDecomp,0.70 ± 0.06,,,0.92 ± 0.04,0.57 ± 0.21,0.67 ± 0.20,,0.24 ± 0.06,0.70 ± 0.20,0.34 ± 0.07,0.71 ± 0.03,"{'hidden_dim': 32, 'num_layers': 2, 'lr': 0.001}"
DecoupledResidualNoDecomp,0.69 ± 0.07,,,0.90 ± 0.04,0.63 ± 0.16,0.73 ± 0.15,,0.22 ± 0.05,0.62 ± 0.13,0.32 ± 0.05,0.67 ± 0.05,"{'hidden_dim': 32, 'num_layers': 1, 'lr': 0.001}"
PatternNoDecomp,0.78 ± 0.06,,,0.95 ± 0.03,0.63 ± 0.08,0.75 ± 0.07,,0.28 ± 0.05,0.81 ± 0.09,0.42 ± 0.06,0.65 ± 0.08,"{'hidden_dim': 128, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.001}"
DecoupledResidualNoDecomp,0.72 ± 0.07,,,0.93 ± 0.04,0.65 ± 0.12,0.76 ± 0.09,,0.23 ± 0.05,0.67 ± 0.17,0.34 ± 0.07,0.67 ± 0.05,"{'hidden_dim': 128, 'num_layers': 1, 'lr': 0.001}"
